#,Nation,Squad Size,Avg Age,Total Value,Confederation,Points,,,F_Value
7,France,23,"26,0",972450000,UEFA,1198,34.6121366,57.78319967,2000
10,Spain,23,"28,5",930600000,UEFA,1126,33.55592347,,1938.968626
2,Brazil,23,"28,6",882900000,CONMEBOL,1431,37.82856064,,2185.855272
1,Germany,23,"27,1",794700000,UEFA,1558,39.47150871,,2280.790069
12,England,23,"26,1",786600000,UEFA,1051,32.41913015,,1873.281071
3,Belgium,23,"27,6",678600000,UEFA,1298,36.02776707,,2081.799658
5,Argentina,23,"29,6",623700000,CONMEBOL,1241,35.22782991,,2035.576729
19,Italy,26,"25,7",597600000,UEFA,951,30.83828789,,1781.934947
4,Portugal,23,"28,4",418050000,UEFA,1274,35.6931366,,2062.463639
17,Netherlands,25,"26,6",366300000,UEFA,981,31.32091953,,1809.822947
14,Uruguay,23,"28,1",335250000,CONMEBOL,1018,31.90611227,,1843.637256
20,Croatia,23,"27,9",324000000,UEFA,945,30.7408523,,1776.304806
27,Senegal,23,"27,2",267570000,CAF,838,28.94822965,,1672.721334
8,Poland,23,"28,3",247320000,UEFA,1183,34.39476704,,1987.439692
34,Serbia,23,"26,8",240710000,UEFA,751,27.40437921,,1583.512716
12,Denmark,23,"27,1",236520000,UEFA,1051,32.41913015,,1873.281071
16,Colombia,22,"28,1",225720000,CONMEBOL,986,31.40063694,,1814.429274
6,Switzerland,23,"27,2",196290000,UEFA,1199,34.62657939,,2000.83455
45,Egypt,23,"29,0",177500000,CAF,649,25.47547841,,1472.054655
26,Austria,27,"26,3",168570000,UEFA,845,29.06888371,,1679.693111
70,Russia,23,"28,8",145640000,UEFA,457,21.37755833,,1235.263721
68,Ivory Coast,25,"25,9",142110000,CAF,463,21.51743479,,1243.346231
66,Algeria,24,"27,2",131020000,CAF,474,21.77154106,,1258.029304
15,Mexico,23,"29,4",130590000,CONCACAF,989,31.44837039,,1817.187465
48,Nigeria,23,"25,9",121370000,CAF,618,24.85960579,,1436.467565
40,Bosnia-H.,23,"25,9",118940000,UEFA,693,26.32489316,,1521.136558
28,Slovakia,24,"26,8",113360000,UEFA,804,28.35489376,,1638.436487
41,Morocco,23,"27,2",112550000,CAF,686,26.19160171,,1513.434551
38,Turkey,25,"26,0",110700000,UEFA,706,26.57066051,,1535.337782
24,Sweden,23,"28,2",107780000,UEFA,880,29.66479395,,1714.126712
18,Wales,24,"25,4",103320000,UEFA,953,30.87069808,,1783.807711
46,Czech Republic,22,"26,1",99540000,UEFA,641,25.3179778,,1462.953766
35,Ukraine,22,"25,8",85100000,UEFA,733,27.07397274,,1564.420773
57,South Korea,23,"27,8",76520000,AFC,544,23.32380758,,1347.72423
38,DR Congo,23,"25,8",74840000,CAF,706,26.57066051,,1535.337782
31,Ireland,26,"27,4",70940000,UEFA,777,27.87471973,,1610.690496
22,Iceland,23,"28,6",68450000,UEFA,908,30.13303835,,1741.183371
49,Cameroon,22,"25,9",67500000,CAF,614,24.77902339,,1431.811256
61,Japan,23,"28,6",66060000,AFC,521,22.82542442,,1318.926057
47,Ghana,22,"24,3",62690000,CAF,624,24.97999199,,1443.423865
53,Norway,24,"25,9",62420000,UEFA,596,24.41311123,,1410.667681
58,Albania,25,"25,4",60710000,UEFA,538,23.19482701,,1340.27132
21,Tunisia,23,"26,5",52990000,CAF,910,30.16620626,,1743.099919
32,Paraguay,29,"29,2",52020000,CONMEBOL,773,27.80287755,,1606.539225
64,Mali,23,"23,4",49910000,CAF,484,22,,1271.230393
36,Australia,23,"28,1",45000000,AFC,718,26.79552201,,1548.330999
30,Romania,28,"27,7",44550000,UEFA,782,27.96426291,,1615.864587
9,Chile,27,"24,6",43720000,CONMEBOL,1135,33.68976106,,1946.70219
52,Burkina Faso,29,"25,9",42840000,CAF,604,24.57641145,,1420.10369
100,Armenia,26,"26,7",39960000,UEFA,338,18.38477631,,1062.3312
37,Iran,23,"27,2",39290000,AFC,708,26.60826939,,1537.510943
23,Costa Rica,23,"29,6",36880000,CONCACAF,884,29.73213749,,1718.018037
44,Greece,21,"25,0",34740000,UEFA,650,25.49509757,,1473.188313
60,Ecuador,25,"25,7",33930000,CONMEBOL,524,22.89104628,,1322.717898
11,Peru,23,"27,4",33770000,CONMEBOL,1125,33.54101966,,1938.107436
33,Venezuela,20,"23,8",32450000,CONMEBOL,755,27.47726333,,1587.724193
51,Hungary,27,"27,2",31010000,UEFA,612,24.73863375,,1429.477414
56,Slovenia,23,"26,6",30650000,UEFA,558,23.62202362,,1364.956107
96,Georgia,24,"25,2",30150000,UEFA,352,18.76166304,,1084.108921
125,Togo,21,"25,6",29950000,CAF,241,15.5241747,,897.0364861
25,USA,20,"23,2",28670000,CONCACAF,873,29.54657341,,1707.295551
42,Scotland,21,"25,6",27320000,UEFA,660,25.69046516,,1484.477278
93,Israel,33,"28,9",26570000,UEFA,362,19.02629759,,1099.400353
29,N. Ireland,22,"26,3",26240000,UEFA,803,28.33725463,,1637.417242
43,Montenegro,22,"25,6",26150000,UEFA,652,25.53429067,,1475.453016
65,Cape Verde,41,"26,7",25520000,CAF,478,21.86321111,,1263.326293
74,South Africa,26,"25,4",24280000,CAF,428,20.68816087,,1195.42813
71,Macedonia,18,"26,0",23630000,UEFA,451,21.23676058,,1227.127977
88,Benin,33,"26,4",23150000,CAF,379,19.46792233,,1124.918843
141,Kosovo,23,"23,9",22320000,UEFA,197,14.03566885,,811.0258555
85,Gabon,21,"26,3",20180000,CAF,390,19.74841766,,1141.126761
63,Finland,23,"26,8",18880000,UEFA,486,22.04540769,,1273.854194
49,Bulgaria,23,"27,8",18540000,UEFA,614,24.77902339,,1431.811256
117,Kazakhstan,24,"26,0",16880000,UEFA,273,16.52271164,,954.7351458
67,Saudi Arabia,23,"28,7",16830000,AFC,465,21.56385865,,1246.02875
68,Guinea,24,"25,7",14780000,CAF,463,21.51743479,,1243.346231
172,The Gambia,23,"24,0",14060000,CAF,92,9.591663047,,554.2369809
87,Cyprus,24,"26,7",12870000,UEFA,384,19.59591794,,1132.314839
78,Belarus,22,"28,1",12740000,UEFA,417,20.42057786,,1179.966328
175,Moldova,25,"27,4",12420000,UEFA,88,9.38083152,,542.0544607
75,China,24,"28,1",11860000,AFC,423,20.5669638,,1188.424976
81,Curaçao,24,"26,8",11450000,CONCACAF,408,20.19900988,,1167.163421
137,Angola,26,"26,4",10640000,CAF,209,14.45683229,,835.362027
79,Canada,20,"26,0",10150000,CONCACAF,411,20.27313493,,1171.446604
83,Congo,24,"26,2",9880000,CAF,393,19.8242276,,1145.507302
118,Zimbabwe,19,"25,8",9810000,CAF,265,16.2788206,,940.6423408
95,Uzbekistan,24,"23,4",9720000,AFC,354,18.81488772,,1087.184414
121,Guinea-Bissau,32,"26,7",9520000,CAF,255,15.96871942,,922.7237028
105,Azerbaijan,27,"27,5",9140000,UEFA,321,17.91647287,,1035.271129
77,U. A. E.,30,"26,9",9070000,AFC,418,20.4450483,,1181.380308
73,Syria,26,"27,7",8840000,AFC,440,20.97617696,,1212.070622
98,Qatar,30,"24,7",8840000,AFC,348,18.65475811,,1077.931612
55,Panama,23,"28,9",7580000,CONCACAF,571,23.89560629,,1380.764589
85,Luxembourg,23,"24,3",7580000,UEFA,390,19.74841766,,1141.126761
126,Lithuania,25,"27,6",6640000,UEFA,239,15.45962483,,893.3065885
129,Latvia,23,"27,8",6030000,UEFA,230,15.16575089,,876.3256116
122,Thailand,23,"27,6",5690000,AFC,248,15.74801575,,909.9707383
94,Estonia,23,"27,5",5450000,UEFA,359,18.94729532,,1094.835349
149,Comoros,17,"26,4",4680000,CAF,172,13.11487705,,757.8195591
106,Madagascar,35,"28,2",4660000,CAF,308,17.54992877,,1014.091039
76,Zambia,32,"24,6",4230000,CAF,420,20.49390153,,1184.203204
82,Uganda,31,"24,3",4230000,CAF,403,20.0748599,,1159.989638
114,Mozambique,25,"26,8",4140000,CAF,282,16.79285562,,970.3449295
110,Jordan,35,"28,5",4120000,AFC,296,17.20465053,,994.139757
120,New Zealand,23,"22,2",4010000,OFC,256,16,,924.5311947
59,Bolivia,25,"24,2",3940000,CONMEBOL,536,23.15167381,,1337.77779
62,Honduras,21,"27,7",3690000,CONCACAF,503,22.42766149,,1295.942042
101,Libya,22,"26,0",3580000,CAF,336,18.33030278,,1059.183545
159,Kuwait,28,"29,8",3580000,AFC,128,11.3137085,,653.7422772
140,Tanzania,23,"23,8",3530000,CAF,200,14.14213562,,817.1778464
99,Palestine,42,"28,1",3440000,AFC,347,18.62793601,,1076.381746
184,Malta,22,"28,3",2900000,UEFA,65,8.062257748,,465.8630492
108,Central Africa,28,"26,8",2880000,CAF,303,17.40689519,,1005.8261
175,Chad,21,"27,8",2840000,CAF,88,9.38083152,,542.0544607
115,Philippines,30,"27,9",2810000,AFC,280,16.73320053,,966.8978673
84,Oman,35,"28,7",2770000,AFC,391,19.77371993,,1142.588807
142,Hong Kong,25,"29,9",2770000,AFC,195,13.96424004,,806.8984706
128,Sudan,37,"28,6",2750000,CAF,232,15.23154621,,880.127476
107,Mauritania,21,"25,9",2540000,CAF,304,17.43559577,,1007.484512
116,Namibia,32,"27,3",2520000,CAF,277,16.64331698,,961.704108
104,Haiti,20,"23,8",2480000,CONCACAF,322,17.94435844,,1036.882447
164,Indonesia,21,"22,0",2090000,AFC,111,10.53565375,,608.7837844
90,Faroe Islands,20,"27,3",2050000,UEFA,376,19.39071943,,1120.457812
138,Myanmar,22,"24,3",2050000,AFC,206,14.35270009,,829.3449353
165,Fiji,23,"25,9",2050000,OFC,104,10.19803903,,589.2753253
79,Lebanon,20,"28,1",1940000,AFC,411,20.27313493,,1171.446604
148,Burundi,21,"26,3",1800000,CAF,174,13.19090596,,762.2127528
108,North Korea,23,"26,1",1780000,AFC,303,17.40689519,,1005.8261
119,Tajikistan,33,"26,0",1710000,AFC,264,16.24807681,,938.8658665
169,Singapore,24,"27,0",1690000,AFC,99,9.949874371,,574.9355774
92,Kyrgyzstan,34,"26,5",1670000,AFC,363,19.05255888,,1100.917814
97,India,23,"24,9",1670000,AFC,350,18.70828693,,1081.024679
103,Niger,22,"26,2",1580000,CAF,323,17.97220076,,1038.491265
143,Equat. Guinea,20,"23,2",1550000,CAF,190,13.78404875,,796.4864412
190,Guam,21,"28,4",1530000,AFC,45,6.708203932,,387.6214872
180,Liechtenstein,22,"27,5",1490000,UEFA,80,8.94427191,,516.8286496
113,Bahrain,23,"27,2",1460000,AFC,289,17,,982.3143943
123,Malawi,21,"24,8",1240000,CAF,247,15.71623365,,908.1342667
145,Afghanistan,33,"26,5",1160000,AFC,188,13.7113092,,792.2833172
130,Turkmenistan,25,"28,3",1100000,AFC,229,15.13274595,,874.4184807
139,Botswana,26,"27,0",1100000,CAF,205,14.31782106,,827.3295133
171,Malaysia,19,"25,4",0,AFC,93,9.643650761,,557.2409974
158,Liberia,14,"24,2",0,CAF,129,11.35781669,,656.2909897
152,Dominican Rep.,21,"26,3",0,CONCACAF,162,12.72792206,,735.4600618
173,Puerto Rico,18,"26,0",0,CONCACAF,89,9.433981132,,545.1256154
188,Aruba,19,"27,6",0,CONCACAF,48,6.92820323,,400.3337506
197,Samoa,22,"27,0",0,OFC,32,5.656854249,,326.8711386
89,Iraq,20,"24,1",0,AFC,377,19.41648784,,1121.946794
136,Rwanda,29,"24,9",0,CAF,216,14.69693846,,849.2361293
166,Papua N. Guinea,19,"25,3",0,OFC,103,10.14889157,,586.4354277
72,El Salvador,20,"27,2",0,CONCACAF,442,21.02379604,,1214.822204
123,Chinese Taipei,33,"26,0",0,AFC,247,15.71623365,,908.1342667
91,Trinidad,24,"24,4",0,CONCACAF,370,19.23538406,,1111.482038
143,Solomon Islands,18,"27,4",0,OFC,190,13.78404875,,796.4864412
155,Mauritius,15,"27,5",0,CAF,140,11.83215957,,683.7000387
146,Guatemala,21,"28,0",0,CONCACAF,180,13.41640786,,775.2429745
162,Vanuatu,23,"22,9",0,OFC,117,10.81665383,,625.0208678
111,Sierra Leone,17,"26,9",0,CAF,292,17.08800749,,987.3997487
157,Tahiti,23,"28,1",0,OFC,130,11.40175425,,658.8298424
112,Kenya,28,"24,9",0,CAF,291,17.05872211,,985.7075457
154,New Caledonia,20,"25,7",0,OFC,150,12.24744871,,707.6967744
195,Brunei,15,"30,3",0,AFC,34,5.830951895,,336.9310576
126,Antigua and B.,20,"24,5",0,CONCACAF,239,15.45962483,,893.3065885
151,Ethiopia,16,"26,1",0,CAF,166,12.88409873,,744.4844492
204,Montserrat,30,"30,3",0,CONCACAF,4,2,,115.5663993
132,Nicaragua,15,"25,1",0,CONCACAF,228,15.09966887,,872.5071812
178,Bermuda,19,"23,4",0,CONCACAF,82,9.055385138,,523.2491275
147,Lesotho,19,"26,1",0,CAF,175,13.22875656,,764.3998814
182,Guyana,19,"26,7",0,CONCACAF,73,8.544003745,,493.6998744
202,San Marino,25,"27,3",0,UEFA,8,2.828427125,,163.4355693
206,Turks-/Caicos,15,"23,6",0,CONCACAF,1,1,,57.78319967
195,Gibraltar,20,"26,2",0,UEFA,34,5.830951895,,336.9310576
130,Andorra,29,"28,4",0,UEFA,229,15.13274595,,874.4184807
133,Yemen,27,"27,3",0,AFC,227,15.06651917,,870.5916857
206,Somalia,31,"26,2",0,CAF,1,1,,57.78319967
134,Swaziland,20,"29,2",0,CAF,222,14.89966443,,860.9502845
156,South Sudan,22,"29,6",0,CAF,132,11.48912529,,663.8784208
54,Jamaica,21,"23,9",0,CONCACAF,588,24.24871131,,1401.168127
170,Saint Lucia,18,"22,2",0,CONCACAF,95,9.746794345,,563.2009637
185,Macau,33,"28,1",0,AFC,60,7.745966692,,447.58674
161,Nepal,23,"25,1",0,AFC,118,10.86278049,,627.686214
190,East Timor,33,"23,2",0,AFC,45,6.708203932,,387.6214872
197,Djibouti,36,"28,2",0,CAF,32,5.656854249,,326.8711386
201,Pakistan,23,"26,8",0,AFC,10,3.16227766,,182.7265214
102,Vietnam,21,"23,6",0,AFC,334,18.27566688,,1056.026508
183,Bhutan,46,"27,1",0,AFC,68,8.246211251,,476.4924712
200,Sri Lanka,29,"31,5",0,AFC,17,4.123105626,,238.2462356
135,St. Kitts/Nevis,20,"25,6",0,CONCACAF,218,14.76482306,,853.1587189
192,A. Samoa,19,"27,2",0,OFC,38,6.164414003,,356.1995652
206,Bahamas,23,"25,6",0,CONCACAF,1,1,,57.78319967
168,Grenada,28,"24,6",0,CONCACAF,102,10.09950494,,583.5817104
192,Cook Islands,18,"28,1",0,OFC,38,6.164414003,,356.1995652
150,Maldives,23,"26,4",0,AFC,171,13.07669683,,755.6133839
153,Suriname,18,"26,2",0,CONCACAF,154,12.40967365,,717.0706501
160,Barbados,19,"23,2",0,CONCACAF,127,11.26942767,,651.1835891
163,Belize,17,"26,6",0,CONCACAF,115,10.72380529,,619.6557825
166,Cambodia,26,"23,9",0,AFC,103,10.14889157,,586.4354277
173,St. Vincent,18,"24,6",0,CONCACAF,89,9.433981132,,545.1256154
177,Dominica,13,"27,2",0,CONCACAF,86,9.273618495,,535.8593491
178,Laos,37,"22,3",0,AFC,82,9.055385138,,523.2491275
181,Cuba,19,"25,0",0,CONCACAF,75,8.660254038,,500.4171882
186,Mongolia,18,"24,8",0,AFC,51,7.141428429,,412.6545848
186,São Tomé and P.,16,"27,3",0,CAF,51,7.141428429,,412.6545848
188,Seychelles,23,"29,2",0,CAF,48,6.92820323,,400.3337506
194,Bangladesh,22,"26,0",0,AFC,35,5.916079783,,341.8500193
199,US Virgin,22,"26,9",0,CONCACAF,18,4.242640687,,245.1533539
202,Cayman Islands,27,"27,4",0,CONCACAF,8,2.828427125,,163.4355693
204,B. Virgin,19,"28,0",0,CONCACAF,4,2,,115.5663993
206,Tonga,16,"28,1",0,OFC,1,1,,57.78319967
206,Eritrea,20,"26,4",0,CAF,1,1,,57.78319967
206,Anguilla,19,"25,1",0,CONCACAF,1,1,,57.78319967