2018-06-15,Russia,Saudi Arabia,,,-,-,-,FALSE
2018-06-16,Egypt,Uruguay,,,-,-,-,TRUE
2018-06-17,Morocco,Iran,,,-,-,-,TRUE
2018-06-18,Portugal,Spain,,,-,-,-,TRUE
2018-06-19,France,Australia,,,-,-,-,TRUE
2018-06-20,Argentina,Iceland,,,-,-,-,TRUE
2018-06-21,Peru,Denmark,,,-,-,-,TRUE
2018-06-22,Croatia,Nigeria,,,-,-,-,TRUE
2018-06-23,Costa Rica,Serbia,,,-,-,-,TRUE
2018-06-24,Germany,Mexico,,,-,-,-,TRUE
2018-06-25,Brazil,Switzerland,,,-,-,-,TRUE
2018-06-26,Sweden,Korea Republic,,,-,-,-,TRUE
2018-06-27,Belgium,Panama,,,-,-,-,TRUE
2018-06-28,Tunisia,England,,,-,-,-,TRUE
2018-06-29,Colombia,Japan,,,-,-,-,TRUE
2018-06-30,Poland,Senegal,,,-,-,-,TRUE
2018-07-01,Russia,Egypt,,,-,-,-,FALSE
2018-07-02,Portugal,Morocco,,,-,-,-,TRUE
2018-07-03,Uruguay,Saudi Arabia,,,-,-,-,TRUE
2018-07-04,Iran,Spain,,,-,-,-,TRUE
2018-07-05,Denmark,Australia,,,-,-,-,TRUE
2018-07-06,France,Peru,,,-,-,-,TRUE
2018-07-07,Argentina,Croatia,,,-,-,-,TRUE
2018-07-08,Brazil,Costa Rica,,,-,-,-,TRUE
2018-07-09,Nigeria,Iceland,,,-,-,-,TRUE
2018-07-10,Serbia,Switzerland,,,-,-,-,TRUE
2018-07-11,Belgium,Tunisia,,,-,-,-,TRUE
2018-07-12,Korea Republic,Mexico,,,-,-,-,TRUE
2018-07-13,Germany,Sweden,,,-,-,-,TRUE
2018-07-14,England,Panama,,,-,-,-,TRUE
2018-07-15,Japan,Senegal,,,-,-,-,TRUE
2018-07-16,Poland,Colombia,,,-,-,-,TRUE
2018-07-17,Russia,Uruguay,,,-,-,-,FALSE
2018-07-18,Saudi Arabia,Egypt,,,-,-,-,TRUE
2018-07-19,Iran,Portugal,,,-,-,-,TRUE
2018-07-20,Spain,Morocco,,,-,-,-,TRUE
2018-07-21,Denmark,France,,,-,-,-,TRUE
2018-07-22,Australia,Peru,,,-,-,-,TRUE
2018-07-23,Nigeria,Argentina,,,-,-,-,TRUE
2018-07-24,Iceland,Croatia,,,-,-,-,TRUE
2018-07-25,Mexico,Sweden,,,-,-,-,TRUE
2018-07-26,Korea Republic,Germany,,,-,-,-,TRUE
2018-07-27,Serbia,Brazil,,,-,-,-,TRUE
2018-07-28,Switzerland,Costa Rica,,,-,-,-,TRUE
2018-07-29,Japan,Poland,,,-,-,-,TRUE
2018-07-30,Senegal,Colombia,,,-,-,-,TRUE
2018-07-31,Panama,Tunisia,,,-,-,-,TRUE
2018-08-01,England,Belgium,,,-,-,-,TRUE